hidden_layers,learning_rate,dropout,F1,AUC-ROC
"(64, 64)",0.001,0.0,0.5083353010625737,0.7393465703470805
"(64, 64)",0.001,0.2,0.5197229750075278,0.7438475067047141
"(64, 64)",0.001,0.3,0.5182669448352821,0.7424378224108001
"(64, 64)",0.01,0.0,0.4864620121343838,0.7130180109698465
"(64, 64)",0.01,0.2,0.5067150223834079,0.7328187762393606
"(64, 64)",0.01,0.3,0.4975453953983557,0.7308898526907597
"(64, 64)",0.0001,0.0,0.5153533881544707,0.7387976823751519
"(64, 64)",0.0001,0.2,0.5141579731743666,0.7359537078555242
"(64, 64)",0.0001,0.3,0.5102885198874607,0.7312294024791013
"(128, 128)",0.001,0.0,0.4951078274760383,0.7231742993188217
"(128, 128)",0.001,0.2,0.5219863718809745,0.74421097172419
"(128, 128)",0.001,0.3,0.5182768289574305,0.7429154966853074
"(128, 128)",0.01,0.0,0.47191011235955055,0.698556118199672
"(128, 128)",0.01,0.2,0.4919887955182073,0.7228872986629913
"(128, 128)",0.01,0.3,0.5050700694998291,0.7318325003945264
"(128, 128)",0.0001,0.0,0.5210066977877005,0.7438355725595579
"(128, 128)",0.0001,0.2,0.5180941889286698,0.7396785671336459
"(128, 128)",0.0001,0.3,0.5167700499533403,0.7377022735898866
"(128, 64)",0.001,0.0,0.49839696881375695,0.7225262924484736
"(128, 64)",0.001,0.2,0.5141274238227147,0.7420513318005292
"(128, 64)",0.001,0.3,0.5210772219014121,0.7431390601732161
"(128, 64)",0.01,0.0,0.48502594133662097,0.7104532359885
"(128, 64)",0.01,0.2,0.49827195805029195,0.7270384454272709
"(128, 64)",0.01,0.3,0.4993878621815426,0.7306888766793078
"(128, 64)",0.0001,0.0,0.5178571428571429,0.7409453099189532
"(128, 64)",0.0001,0.2,0.518137462876538,0.7394496725095323
"(128, 64)",0.0001,0.3,0.5137170817527077,0.7361766387599755
"(256, 128)",0.001,0.0,0.4916543209876543,0.7156300732410938
"(256, 128)",0.001,0.2,0.5114059937378858,0.7361900705408789
"(256, 128)",0.001,0.3,0.511252344238383,0.7371553481913702
"(256, 128)",0.01,0.0,0.4832222222222222,0.7100545094706461
"(256, 128)",0.01,0.2,0.49560233785394087,0.7284101501256897
"(256, 128)",0.01,0.3,0.48627253879499904,0.7288412523990113
"(256, 128)",0.0001,0.0,0.5205779562881435,0.7445276054503213
"(256, 128)",0.0001,0.2,0.5196617336152219,0.7418063878858703
"(256, 128)",0.0001,0.3,0.5169610924460821,0.7414493336415036
