feature,mean_abs_shap
track_genre_top_other,0.57457477
energy,0.1806346
valence,0.17038237
acousticness,0.1698283
duration_ms,0.15738606
loudness,0.14894345
liveness,0.12240746
instrumentalness,0.119525604
danceability,0.10824851
speechiness,0.105460085
tempo,0.07192564
explicit_False,0.0596497
key_7,0.040445518
track_genre_top_pop-film,0.03302321
time_signature_4,0.027146965
mode_0,0.026333326
key_0,0.02090728
key_9,0.019890446
track_genre_top_chill,0.011756833
track_genre_top_k-pop,0.008185099
track_genre_top_hip-hop,0.0079179965
track_genre_top_edm,0.006349278
track_genre_top_emo,0.006098021
key_11,0.00602785
track_genre_top_electro,0.0052163154
track_genre_top_house,0.0049016513
track_genre_top_grunge,0.0048856423
key_3,0.004863799
key_1,0.004602254
track_genre_top_pop,0.0043152873
key_5,0.004174527
key_8,0.0037087302
track_genre_top_sad,0.0035584911
track_genre_top_metalcore,0.0033968738
key_4,0.0033323176
key_6,0.0032852057
track_genre_top_piano,0.003197975
track_genre_top_anime,0.0029434336
time_signature_3,0.0028983431
key_10,0.002216264
key_2,0.0018267947
track_genre_top_psych-rock,0.0013529408
time_signature_5,0.00095699925
track_genre_top_ambient,0.0009568304
track_genre_top_british,0.0007146251
track_genre_top_deep-house,0.0006394701
track_genre_top_progressive-house,0.00034752436
time_signature_1,0.00030813954
track_genre_top_metal,9.050225e-05
time_signature_0,8.148538e-05
mode_1,0.0
explicit_True,0.0
